keys,en,ru
INTRO_CREDITS,A game by Lesha Lukash,Автор игры — Лёша Лукаш
BEGIN_BUTTON,Begin,Начать
CONTINUE_BUTTON,Continue,Продолжить
INTRO,"[fill]There was a series of murders happened in the town yesterday. It's not the first time.

But this time there was a smartphone found on the place of death of one of the victims. It has a group chat, and we assume, that victim's death and this chat are somehow connected to each other.

Your objective is [u]to investigate the group chat.[/u] Find out as much information as possible about it's members and what happened to them, and then make a report. This will help to prevent such massacres in the future.[/fill]

[center]You have only one attempt.[/center]","[fill]Вчера в городе произошла череда убийств. Это происходит уже не в первый раз.

Но в этот раз на месте гибели одной из жертв был обнаружен её смартфон. На нём был открыт групповой чат, и можно полагать, что участие жертвы в нём и повлекло за собой преступление.

Ваша задача - [u]изучить этот чат.[/u]Выясните как можно больше информации об его участниках и о том, что с ними случилось, и составьте об этом отчёт. Это поможет предотвратить повторение вчерашней бойни.[/fill]

[center]У вас одна попытка.[/center]"
GET_RESULTS_BUTTON,View results,Просмотреть итоги
CHAT_NAME,treasure hunt,охота на сокровища
CHAT_COUNTER,3 members,3 участника
EDITED_MARKER,edited,отредактировано
BACK_CHAT_BUTTON,Back to chat,Вернуться к чату
EXIT_BUTTON,Exit,Закрыть
MAKE_REPORT_BUTTON,Make the report,Составить отчёт
REPORT_DESCRIPTION_LABEL,Carefully investigate the chat and fill the blanks below:,Внимательно изучите переписку и ответьте на вопросы ниже:
ENTER_ANSWER_HINT,enter your answer…,введите ответ…
QUESTION_ONE,What is the name of the chat you investigate?,"Как называется чат, который вы изучаете?"
QUESTION_TWO,"How many persons were in the chat at the
beginning of the «game»?","Сколько человек было в чате на 
момент начала «игры»?"
QUESTION_THREE,"What is the nickname of the first died
participant?","Назовите никнейм первого погибшего
игрока"
QUESTION_FOUR,"What is the real name of the participant who
killed a person from the previous question?","Укажите настоящее имя игрока,
убившего жертву из предыдущего вопроса"
QUESTION_FIVE,"Which street does the participant live on
whose behalf are you studying this chat? ","На какой улице проживает игрок,
от лица которого вы изучаете данный чат?"
QUESTION_SIX,"Which street does the participant live on
who first reached the player «saxxxy13»?","На какой улице проживает игрок, который
первым добрался до игрока ""saxxxy13""?"
END_REPORT_BUTTON,Finish the report,Завершить отчёт
WARNING_LABEL,Are you sure?,Вы уверены?
YES_BUTTON,Yes,Да
GO_BACK_BUTTON,Take a look again,Перепроверить
REPORT_PERCENT_DESCRIPTION,Your report was accurate,Ваш отчёт оказался верен на
RESULT_ZERO,"The report turned out to be a complete failure. Gross mistakes were made, by the time they were corrected it was too late - all the participants were dead, and the organizers completely cleaned up the places of death of the participants and disappeared without a trace. The investigation has reached an impasse again.\n\nYour colleagues are wondering how it was possible to approach the matter so casually, and the management is seriously thinking if not about your dismissal, then at least demotion.\n\nMoreover, your careless investigation did not go unnoticed by the organizers of these games, and they seem to have got on your trail!\n\nTake care of yourself.","Отчёт оказался полностью провальным. Были допущены грубейшие ошибки, к моменту, когда их удалось исправить, было слишком поздно - все участники были мертвы, а организаторы бесследно исчезли, подчистив места гибели участников. Следствие снова зашло в тупик.\n\nВаши коллеги недоумевают, как можно было настолько небрежно подойти к делу, а руководство всерьёз задумывается если не об вашем увольнении, то по крайней мере понижении в должности.\n\nХуже того, ваше небрежное расследование не осталось незамеченными организаторами этих игр, и они, похоже, вышли на ваш след!\n\nБерегите себя."
